run_id,instance,folder,approach,approach_name,time_budget,workers,runtime_sec,makespan,valid,status,error
alns_run1_w2,PSP24.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.1724,23,True,OK,
alns_run1_w2,PSP25.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.1831,35,True,OK,
alns_run1_w2,PSP26.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,0.0,-1,False,INFEASIBLE,activity resource demand exceeds capacity
alns_run1_w2,PSP27.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,0.0,-1,False,INFEASIBLE,activity resource demand exceeds capacity
alns_run1_w2,PSP28.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.1875,25,True,OK,
alns_run1_w2,PSP29.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.1794,29,True,OK,
alns_run1_w2,PSP30.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.1876,30,True,OK,
alns_run1_w2,PSP31.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.1775,49,True,OK,
alns_run1_w2,PSP32.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.1737,43,True,OK,
alns_run1_w2,PSP33.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.188,67,True,OK,
alns_run1_w2,PSP34.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.2554,56,True,OK,
alns_run1_w2,PSP35.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.2166,38,True,OK,
alns_run1_w2,PSP36.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.3036,51,True,OK,
alns_run1_w2,PSP37.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.2831,32,True,OK,
alns_run1_w2,PSP38.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.2073,43,True,OK,
alns_run1_w2,PSP39.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.2274,40,True,OK,
alns_run1_w2,PSP40.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.2222,49,True,OK,
alns_run1_w2,PSP41.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.2226,35,True,OK,
alns_run1_w2,PSP42.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.2037,33,True,OK,
alns_run1_w2,PSP43.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.2031,27,True,OK,
alns_run1_w2,PSP44.SCH,sm_j10,alns,Adaptive Large Neighborhood Search + SSGS Decoder,28.0,2,28.2156,32,True,OK,
